edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL38538688M,2023,2023,LitJoy Crate,,,
OL32234215M,"Jan 02, 2018",2018,"Little, Brown Young Readers",,,
OL28682069M,2020,2020,Hidra,,,
OL26782186M,"Jul 26, 2018",2018,Hot Key Books,,,
OL27099606M,"Dec 04, 2018",2018,"Little, Brown Books for Young Readers",,,
OL28153628M,"Jan 02, 2018",2018,"Little, Brown Young Readers",,,
OL38270779M,2013,2013,Harlequin Enterprises ULC,,,
OL29783129M,2018,2018,"Harlequin Enterprises, Limited",,,
OL9750254M,"October 1, 1995",1995,Harlequin,,,
OL17207889M,1995,1995,Mills &Boon,Richmond,enk,
OL9748049M,November 1995,1995,Thorndike Pr,,,
OL40208522M,"Jan 18, 2023",2023,Editorial Planeta,Barcelona,,
OL46526659M,2022,2022,Otwarte,,,
OL37050436M,"Oct 18, 2022",2022,Atria Books,,,
OL41089127M,18 October 2022,2022,Atria Books,,,
OL39651255M,2022,2022,Cengage Gale,,,
OL38059274M,2022,2022,Atria Books,,,
OL54181319M,2013,2013,CreateSpace Independent Publishing Platform,,,
OL47391457M,"Jan 12, 2023",2023,DEBOLSILLO,,,
OL36719800M,2007,2007,Dundurn Press,,,
OL36115757M,2021,2021,Independently Published,,,
OL36494660M,2021,2021,Independently Published,,,
OL36511489M,2021,2021,Independently Published,,,
OL36463509M,2021,2021,Independently Published,,,
OL36388502M,2021,2021,Independently Published,,,
OL36449356M,2021,2021,Independently Published,,,
OL36173474M,2021,2021,Independently Published,,,
OL36117787M,2021,2021,Independently Published,,,
OL36121113M,2021,2021,Independently Published,,,
OL36033247M,2021,2021,Independently Published,,,
OL35064630M,2021,2021,Independently Published,,,
OL35192408M,2021,2021,Independently Published,,,
OL34349410M,2021,2021,Independently Published,,,
OL34290658M,2021,2021,Independently Published,,,
OL34314453M,2021,2021,Independently Published,,,
OL34252853M,2021,2021,Independently Published,,,
OL34288533M,2021,2021,Independently Published,,,
OL34201054M,2021,2021,Independently Published,,,
OL32734086M,"Feb 01, 2009",2009,Kadokawa Shoten/Tsai Fong Books,,,
OL27594308M,"Jul 01, 2013",2013,Hesperus Press,,,
OL23750346M,1989,1989,McClelland and Stewart,Toronto,onc,
OL16236596M,1975,1975,Harrap,London,xxk,
OL19746209M,1972,1972,McClelland and Stewart,"Toronto, Ont",onc,Canadian favourites
OL17421552M,1980,1980,Angus & Robertson,London,xxk,
OL22146128M,1988,1988,Bantam Books,,xxk,
OL9562522M,"April 1, 2007",2007,Harlequin,,,
OL49346577M,2022,2022,Unknown,,,
OL47774735M,2015,2015,Create space publishing,,,
OL1646145M,1990,1990,Mills & Boon,"Richmond, Surrey",enk,Romance ;
OL1646145M,1990,1990,Mills & Boon,"Richmond, Surrey",enk,3294
OL36776178M,2022,2022,"Open Road Integrated Media, Inc.",,,
OL36085169M,2021,2021,Independently Published,,,
OL36035450M,2021,2021,Independently Published,,,
OL33467124M,2014,2014,"Little, Brown Book Group Limited",,,
OL36594695M,2021,2021,Independently Published,,,
OL36494671M,2020,2020,Independently Published,,,
OL36366758M,2021,2021,Independently Published,,,
OL36164531M,2021,2021,Independently Published,,,
OL36123559M,2020,2020,Independently Published,,,
OL36125456M,2021,2021,Independently Published,,,
OL36148760M,2021,2021,Independently Published,,,
OL36112487M,2021,2021,Independently Published,,,
OL36120568M,2021,2021,Independently Published,,,
OL36033160M,2021,2021,Independently Published,,,
OL35973962M,2019,2019,Independently Published,,,
OL35222165M,2021,2021,Independently Published,,,
OL35121412M,2021,2021,Independently Published,,,
OL35041920M,2021,2021,Independently Published,,,
OL34294054M,2021,2021,Independently Published,,,
OL34279982M,2021,2021,Independently Published,,,
OL34244747M,2021,2021,Independently Published,,,
OL30744945M,"Feb 07, 2017",2017,CreateSpace Independent Publishing Platform,,,
OL30275467M,2020,2020,Independently Published,,,
OL30221213M,2020,2020,Independently Published,,,
OL30240049M,2020,2020,Independently Published,,,
OL30190568M,2020,2020,Arcturus Publishing,,,
OL25648985M,1926,1926,Mass Market Paperback,,,
OL15388701M,1926,1926,Frederick A. Stokes Co.,New York,nyu,
OL14584199M,1940,1940,McClelland & Stewart,Toronto,onc,
OL18119812M,1926,1926,McClelland and Stewart,Toronto,onc,
OL19889860M,1947,1947,McClelland & Stewart,Toronto,onc,The Cavendish library
OL23750345M,1926,1926,McClelland and Stewart,Toronto,onc,
OL8188838M,October 1999,1999,Tandem Library,,,
OL22098412M,1926,1926,McClelland & Stewart Limited,Toronto,onc,
OL8076181M,"July 1, 1989",1989,McClelland & Stewart,,,
OL14977398M,1982,1982,Mills & Boon,London,xxk,
OL14977398M,1982,1982,Harlequin Mills & Boon,London,xxk,
OL10280610M,1982,1982,Harlequin Books,,,
OL10280610M,1982,1982,Harlequin,,,
OL29152288M,2012,2012,"Harlequin Mills & Boon, Limited",,,
OL28990644M,2007,2007,"Harlequin Mills & Boon, Limited",,,
OL28363959M,"Aug 01, 2007",2007,Harlequin Mills & Boon Ltd (Large Print Books),,,
OL24260394M,2007,2007,Harlequin,"Toronto, Ontario",nyu,
OL48577313M,2022,2022,Gu Linfgfei,,,
OL47620937M,2022,2022,Unknown,,,
OL47620785M,2022,2022,Unknown,,,
OL17558866M,1990,1990,Mills & Boon,,enk,
OL36334826M,2016,2016,"Rehak, David",,,
OL35503359M,2014,2014,"Sourcebooks, Incorporated",,,
OL34817704M,1993,1993,Perfection Learning Corporation,,,
OL34125258M,2021,2021,Independently Published,,,
OL36601113M,2021,2021,Independently Published,,,
OL36508198M,2021,2021,Independently Published,,,
OL36473533M,2021,2021,Independently Published,,,
OL36496937M,2021,2021,Independently Published,,,
OL36116168M,2021,2021,Independently Published,,,
OL36076192M,2021,2021,Independently Published,,,
OL35180289M,2021,2021,Independently Published,,,
OL34347964M,2021,2021,Independently Published,,,
OL34307879M,2021,2021,Independently Published,,,
OL34261768M,2021,2021,Independently Published,,,
OL31853905M,"Jan 06, 2020",2020,Bibliotech Press,,,
OL30357114M,2020,2020,Independently Published,,,
OL23247589M,1989,1989,Bantam Books,New York,nyu,
OL8258400M,September 1999,1999,Amereon Limited,,,
OL8076176M,"July 1, 1989",1989,McClelland & Stewart,,,
OL10738160M,June 1982,1982,Harlequin Books,,,Harlequin Presents - 524
OL10738160M,June 1982,1982,Harlequin Books (Mm),,,Harlequin Presents - 524
OL9741669M,"April 1, 2007",2007,Harlequin,,,
OL22727034M,1990,1990,Mills & Boon,"Richmond, Surrey",xxk,
OL21222645M,1990,1990,Mills & Boon,Richmond,xxk,
OL10738804M,"August 1, 1991",1991,Harlequin,,,"Harlequin Presents, No 1393"
OL26335728M,1976,1976,Harlequin Books,Toronto,onc,A Harlequin romance -- 1956
OL14979995M,1977,1977,Mills and Boon,London,xxk,
OL38446297M,2022,2022,Bloom Books,"Naperville, Illinois, USA",,"Twisted, 4"
OL38574449M,"Jun 24, 2022",2022,Ana Huang,,,
OL61188557M,2009,2009,Harlequin Books Brasil,,,Rainhas Do Romance
OL24333338M,November 2009,2009,Harlequin Mills & Boon,,,
OL9752646M,1981,1981,Harlequin,,,
OL60303596M,2019,2019,Kineret,Modiʻin,is,
OL60303596M,2019,2019,Zemorah Bitan,Modiʻin,is,
OL60303596M,2019,2019,Devir,Modiʻin,is,
OL48120574M,2023,2023,Planeta,Barcelona,,
OL57485262M,"December 7, 2018",2018,Grand Central Publishing,,,
OL60125391M,09/03/2020,2020,Galera,,,
OL49586096M,2023,2023,"Editorial Planeta, S. A.",,,
OL27587656M,2019,2019,Wydawnictwo Otwarte,"Kraków, Poland",,
OL39412651M,2022,2022,Grand Central Publishing,,,
OL39128605M,2022,2022,Grand Central Publishing,,,
OL36284697M,2022,2022,"Little, Brown Book Group Limited",,,
OL36020400M,2021,2021,Grand Central Publishing,,,
OL35611219M,"Oct 26, 2021",2021,Grand Central Publishing,"New York City, USA",,
OL9750982M,"January 1, 1993",1993,Harlequin,,,
OL9748216M,"January 1, 1993",1993,Harlequin,,,
OL19699246M,1992,1992,Mills & Boon,,enk,
OL1776472M,1991,1991,Mills & Boon,"Richmond, Surrey",enk,Romance ;
OL31986851M,June 1979,1979,Mills & Boon,London,,
OL9752090M,1991,1991,Mills and Boon,,,
OL9749227M,1991,1991,Mills and Boon,,,
OL16522162M,1991,1991,Mills & Boon,London,xxk,
OL9750733M,September 1991,1991,MacMillan Publishing Company,,,
OL9747979M,"May 1, 1992",1992,harlequin,,,
OL21310545M,1988,1988,Mills and Boon,,xxk,
OL10738506M,"August 1, 1987",1987,harlequin,,,"Harlequin Presents, No 1010"
OL9745468M,"May 10, 1985",1985,Harlequin Mills & Boon,,,
OL9745468M,"May 10, 1985",1985,Mills & Boon,,,
OL9750324M,"May 10, 1985",1985,Harlequin Mills & Boon,,,
OL9747626M,"May 10, 1985",1985,Harlequin Mills & Boon,,,
OL44175236M,2016,2016,"Harlequin Mills & Boon, Limited",,,
OL17371302M,1988,1988,Mills & Boon,Richmond,xxk,
OL17507026M,1988,1988,Mills & Boon,Richmond,xxk,
OL17507026M,1988,1988,Harlequin Mills & Boon,Richmond,xxk,
OL14976258M,1975,1975,Mills and Boon,London,xxk,
OL61516907M,2026-05-26,2026,Piatkus Books,,,
OL56904047M,2024,2024,Editorial Planeta Mexicana,,,
OL52564084M,"Jan 31, 2024",2024,Crossbooks,,,
OL51006348M,2022-06-24,2022,Ana Huang,,,
OL42830813M,June 24 2022,2022,Oxford university press,,,
OL39730646M,2022,2022,Ana Huang,,,
OL39441146M,2022,2022,Ana Huang,,,
OL29663909M,2011,2011,"Harlequin Enterprises, Limited",,,
OL18050045M,1998,1998,Mills & Boon,Richmond,xxk,Collector's Edition
OL21366179M,1987,1987,Chivers,Bath,xxk,Atlantic large print
OL22321605M,1987,1987,Curley,"South Yarmouth, Ma",xxu,
OL9752238M,"October 1, 1988",1988,Harlequin,,,
OL39801379M,"Mar 13, 2020",2020,dtv Verlagsgesellschaft,"München, Germany",,
OL39220275M,"Aug 10, 2022",2022,Epsilon Yayınevi,İstanbul,,
OL38406842M,26 abril 2022,2022,Planeta,Barcelona,,
OL28288027M,"Jun 23, 2020",2020,Editorial Planeta,,,
OL37689762M,2022,2022,Grand Central Publishing,,,
OL28152674M,"Jul 30, 2019",2019,Audible Studios on Brilliance Audio,,,
OL27248516M,2018,2018,Colleen Hoover,United States,,
OL14976197M,1980,1980,Harlequin,,xxk,
OL14976197M,1980,1980,Harlequin Books,,xxk,
OL14980268M,1981,1981,Mills & B.,,xxk,
OL14979815M,1975,1975,Mills & Boon,London,xxk,
OL24372658M,1975,1975,Harlequin Books,Toronto,onc,Harlequin presents -- 109
OL24372658M,1975,1975,Harlequin Books,Winnipeg,onc,Harlequin presents -- 109
OL9745901M,"January 1, 1993",1993,Harlequin,,,
OL28973935M,1979,1979,"Harlequin Mills & Boon, Limited",,,
OL31986854M,April 1985,1985,Mills & Boon,London,,
OL24382038M,September 1979,1979,Harlequin Books,Toronto,onc,
OL31992151M,2000,2000,Harlequin,Paris,fr,Collection Azur -- 2016
OL9750715M,"May 1, 1992",1992,harlequin,,,
OL9745722M,"May 1, 1992",1992,harlequin,,,
OL10239116M,June 1988,1988,MacMillan Publishing Company,,,
OL38290911M,2014,2014,Harlequin Enterprises ULC,,,
OL34872144M,2014,2014,Harlequin Enterprises ULC,,,
OL9751599M,1986,1986,Mills and Boon,,,
OL9745051M,1986,1986,Mills and Boon,,,
OL9745051M,1986,1986,Harlequin Mills & Boon,,,
OL22568185M,1992,1992,Magna,Long Preston,enk,
OL10807085M,August 1992,1992,Ulverscroft Large Print,,,
OL10280838M,"October 11, 1991",1991,Harlequin Mills & Boon,,,
OL10738492M,"May 1, 1987",1987,harlequin,,,"Harlequin Presents, No 987"
OL10738492M,"May 1, 1987",1987,Harlequin,,,"Harlequin Presents, No 987"
OL38010863M,2022,2022,"Little, Brown Book Group Limited",,,
OL29243056M,2013,2013,"Harlequin Mills & Boon, Limited",,,
OL29106576M,2011,2011,"Harlequin Mills & Boon, Limited",,,
OL24333336M,1981,1981,Mills & Boon,,,
OL2726049M,1987,1987,J. Curley,"Bath, England",enk,Atlantic large print
OL2726049M,1987,1987,J. Curley,"South Yarmouth, Mass., U.S.A",enk,Atlantic large print
OL14977285M,1981,1981,Mills & Boon,London,xxk,
OL24333337M,1999,1999,Mills & Boon,,,
OL17255651M,1987,1987,Mills & Boon,Surrey,xxk,
OL9747434M,"October 1, 1988",1988,Harlequin,,,
OL9746776M,"October 1, 1988",1988,Harlequin,,,
OL47314659M,"Apr 28, 2021",2021,Fang Yan Wen Hua,,,
OL61228842M,10/11/2021,2021,Hugo Poche,,,
OL38448570M,2020,2020,Independently Published,,,
OL38448570M,2020,2020,Independently published,,,
OL37984861M,2022,2022,"Little, Brown Book Group Limited",,,
OL36038052M,"Dec 10, 2018",2018,Zachary M Humphries,,,
OL28974140M,1991,1991,"Harlequin Mills & Boon, Limited",,,
OL21220705M,April 1979,1979,Mills & Boon,London,xxk,
OL9748521M,September 1991,1991,MacMillan Publishing Company,,,
OL18817745M,1986,1986,Mills & Boon,London,xxk,
OL29248529M,2014,2014,"Harlequin Mills & Boon, Limited",,,
OL14977516M,1982,1982,Mills and Boon,London,xxk,
OL9748793M,1986,1986,Mills and Boon,,,
OL9742157M,June 1982,1982,Harlequin Books,,,
OL9742157M,June 1982,1982,Harlequin Books (Mm),,,
OL10738607M,"January 1, 1989",1989,Harlequin,,,"Harlequin Presents, No 1143"
OL14981312M,1987,1987,Mills & Boon,Richmond,xxk,
OL58498674M,"November 15, 2011",2011,Harper Collins,,,
OL52742994M,2011,2011,McPherson’s Printing Group,Allen & Unwin 83 Alexander Street Crows Nest NSW 2065 Australia,,Shatter Me
OL49511303M,2023,2023,Farshore,,,
OL51095009M,2024,2024,Cengage Gale,,,
OL37401548M,2011,2011,HarperCollins Publishers,,,
OL28907014M,2019,2019,HarperCollins Publishers,,,
OL27350901M,"Jan 09, 2018",2018,HarperCollins,,,
OL28286358M,"Oct 02, 2012",2012,Turtleback Books,,,
OL28769199M,2018,2018,HarperCollins Publishers,,,
OL25114382M,2011,2011,Harper Audio,,,
OL61638992M,2025,2025,Alfaguara,"Barcelona, España",,"Powerless, 1; Sin límites"
OL52654002M,2024,2024,"Bookish Box & Shop, The",,,
OL51621343M,2024,2024,Penguin Random House Grupo Editorial,,,
OL48262168M,2023,2023,"Simon & Schuster, Limited",,,
OL48199602M,2023,2023,"Simon & Schuster, Limited",,,
OL29763294M,2017,2017,"Harlequin Enterprises, Limited",,,
OL27923306M,March 1982,1982,Mills & Boon,UK,,Mills & Boon Romance #1885
OL41347527M,"Nov 25, 2011",2011,,,,
OL48152017M,2013,2013,Allen & Unwin,,,
OL50655522M,2024,2024,HarperCollins Publishers Limited,,,
OL47985949M,09/06/2016,2016,Rizzoli,,,
OL32216971M,"Apr 17, 2018",2018,Harpercollins,,,
OL32216971M,"Apr 17, 2018",2018,HarperCollins and Blackstone Audio,,,
OL34115689M,2012,2012,HarperCollins Publishers,,,
OL35813696M,2018,2018,Farshore,,,
OL27105656M,"Nov 15, 2011",2011,HarperCollins,,,
OL27781701M,"Apr 17, 2018",2018,HarperCollins and Blackstone Audio,,,
OL52556338M,2024,2024,"Simon & Schuster, Limited",,,
OL49297283M,2023,2023,Lauren Roberts,,,
OL49296355M,2023,2023,"Roberts, Lauren",,,
OL48369768M,2023,2023,Simon & Schuster Books For Young Readers,,,
OL48316907M,2023,2023,Simon & Schuster Books For Young Readers,,,
OL47124583M,1/31/2023,2023,Lauren Roberts,,,
OL18356833M,January 1982,1982,Mills & Boon,UK,enk,
OL17476629M,March 1988,1988,Mills & Boon,UK,xxk,Mills & Boon Best Seller Romance #600
OL20121410M,March 1982,1982,Mills and Boon,UK,xxk,Mills & Boon Romance #1885
OL61366359M,"June 1, 2015",2015,Blossom Books,,,Shatter Me
OL48675455M,2023,2023,Farshore,,,
OL27277806M,2018-04-05,2018,Electric Monkey,,,Shatter Me (#1)
OL24917781M,2011,2011,HarperTeen,"New York, NY",nyu,
OL59414384M,"Oct 17, 2024",2024,OLYMPE,,,
OL51098487M,2023,2023,Simon & Schuster Books For Young Readers,,,
OL29264363M,2015,2015,"Harlequin Mills & Boon, Limited",,,
OL10738150M,June 1982,1982,Harlequin Books,Canada,,Harlequin Presents #510
OL49672018M,2022,2022,Moondrive,,,
