work_key,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5
OL810243W,0,0,0,1,1
OL111428W,0,1,2,3,4
OL3845130W,0,0,2,5,5
OL17306213W,1,2,3,0,3
OL3771278W,0,0,0,3,1
OL3294391W,0,0,0,0,2
OL3458041W,0,0,4,2,3
OL4440552W,1,1,2,0,0
OL111500W,0,1,0,3,1
OL5589322W,1,0,4,2,3
OL1902447W,0,0,0,1,4
OL20883297W,1,5,8,22,11
OL4220889W,1,0,1,4,1
OL111575W,1,0,1,1,1
OL17900212W,0,0,1,8,1
OL3457938W,0,1,5,3,2
OL111433W,0,1,2,3,3
OL27916409W,0,0,1,2,3
OL111544W,0,1,3,2,2
OL8125819W,0,0,2,2,2
OL3931421W,0,0,2,4,4
OL5691867W,1,0,0,3,8
OL10451074W,0,1,2,8,2
OL5808604W,0,0,2,2,2
OL461007W,0,2,1,1,2
OL17396104W,0,0,2,2,5
OL15140020W,0,3,2,4,4
OL3294281W,3,0,5,1,3
OL16041952W,0,0,3,3,3
OL3294302W,0,0,4,1,0
OL2705666W,2,0,4,0,1
OL4689744W,1,0,1,1,2
OL8366001W,0,0,1,0,1
OL3771264W,1,2,1,5,1
OL1388028W,0,2,7,10,14
OL4052076W,0,0,0,0,6
OL17421165W,0,1,2,0,3
OL3759341W,0,2,2,2,4
OL276386W,2,4,12,12,13
OL15691389W,0,2,1,1,3
OL3759470W,1,0,1,3,0
OL3519317W,0,2,1,4,2
OL98501W,1,4,4,18,15
OL15175357W,0,1,1,2,2
OL3759242W,1,0,4,2,3
OL4356940W,0,0,1,1,2
OL4220886W,0,0,3,1,3
OL5236089W,0,0,2,7,0
OL482575W,1,0,0,2,2
OL17974590W,2,2,1,5,3
OL36090166W,1,0,4,2,9
OL28681709W,0,0,0,0,3
OL14857623W,1,1,1,3,2
OL14862506W,0,0,0,1,1
OL3519326W,0,2,0,3,1
OL5762087W,6,7,6,0,7
OL5686809W,0,0,2,2,4
OL5691884W,0,1,1,4,5
OL5686917W,2,1,3,2,3
OL3775474W,0,0,3,5,3
OL41078W,0,0,2,9,7
OL17221584W,0,1,0,2,9
OL17415853W,1,0,2,3,1
OL111479W,0,0,0,2,3
OL16083359W,0,0,2,2,2
OL3467540W,1,1,5,3,2
OL3845643W,0,1,2,5,7
OL19979127W,0,1,0,2,2
OL36042699W,1,0,0,3,3
OL3294348W,0,0,3,5,2
OL27297240W,23,2,9,23,65
OL471990W,0,0,2,6,10
OL2959228W,0,2,1,7,9
OL24217909W,2,0,1,1,1
OL16305787W,0,0,2,4,2
OL5686862W,0,0,2,5,4
OL3759329W,0,1,0,4,2
OL5810798W,1,0,1,0,0
OL17846368W,1,1,1,2,1
OL21548993W,0,0,1,1,0
OL52114W,4,10,40,63,44
OL3775472W,0,0,2,3,1
OL24457490W,6,1,15,23,37
OL213267W,0,0,2,3,2
OL9224719W,0,0,0,2,6
OL167281W,1,0,0,0,7
OL9224690W,0,0,2,5,4
OL5695227W,1,1,1,1,3
OL16587257W,0,0,3,0,5
OL19800269W,1,0,1,2,3
OL8488804W,0,0,1,4,4
OL4412079W,0,0,1,5,1
OL28454346W,0,0,1,2,0
OL3771222W,1,0,1,1,2
OL3498738W,0,0,1,2,1
OL5686921W,1,1,2,6,5
OL2959266W,2,0,1,8,4
OL20667571W,1,0,0,0,0
OL554612W,0,1,3,3,4
OL4056407W,0,1,0,2,3
OL5696197W,0,0,0,1,1
OL3770775W,1,0,2,4,1
OL4331836W,0,0,2,3,1
OL111418W,0,0,1,1,3
OL16057432W,2,1,1,2,1
OL111457W,0,2,0,1,2
OL3770485W,0,0,1,1,0
OL5236088W,0,0,3,4,5
OL3759170W,1,1,2,3,5
OL21854790W,1,0,1,0,3
OL3759382W,1,0,1,1,1
OL3498667W,0,0,2,0,1
OL1708330W,0,1,1,4,0
OL3770476W,0,0,1,1,0
OL4233114W,0,0,1,2,2
OL20853227W,1,0,1,4,2
OL2959215W,0,0,3,3,2
OL4689771W,0,0,1,2,3
OL3457644W,0,0,2,1,5
OL11277282W,0,2,1,1,3
OL15436932W,1,1,2,2,2
OL17519668W,0,1,1,3,3
OL17439529W,0,1,4,4,6
OL1822309W,1,0,2,2,3
OL3908277W,0,0,1,7,7
OL3759115W,0,4,2,1,5
OL5690877W,0,1,2,2,4
OL3845577W,0,0,1,4,2
OL15687W,0,0,0,2,4
OL32504514W,0,0,0,0,1
OL17426791W,0,0,3,5,2
OL134699W,1,1,3,3,6
OL4220891W,0,0,2,2,1
OL4278228W,0,0,1,3,3
OL35923530W,1,0,0,0,1
OL11327963W,0,0,1,4,0
OL3475959W,0,0,1,1,2
OL2959332W,0,1,2,2,4
OL4273173W,0,0,7,0,6
OL3845003W,0,0,1,3,3
OL4412082W,1,1,2,1,2
OL2705652W,1,1,2,3,0
OL4228757W,1,0,2,6,1
OL111426W,1,0,2,2,3
OL5236152W,0,0,6,3,0
OL3519301W,0,2,0,3,0
OL8315344W,0,0,1,5,4
OL15143237W,0,1,3,1,1
OL7133453W,0,0,0,0,2
OL3457814W,0,0,2,4,2
OL27701041W,2,0,0,0,0
OL3771235W,3,1,0,4,2
OL8032353W,0,0,1,4,0
OL82360W,0,0,5,11,6
OL20537509W,3,0,0,1,5
OL15740111W,0,0,2,3,1
OL19968136W,1,0,3,1,7
OL16471161W,1,0,2,3,3
OL21582802W,1,0,0,1,4
OL5236106W,0,0,1,2,3
OL8029485W,0,0,1,1,2
OL21598762W,0,0,1,0,1
OL4689788W,0,0,2,0,4
OL3759078W,2,0,2,1,0
OL17795942W,0,0,1,1,2
OL16053063W,2,0,2,0,2
OL274910W,0,0,0,2,1
OL3498790W,0,2,1,3,2
OL3458058W,0,0,1,1,1
OL20168339W,0,1,3,5,6
OL5100324W,1,1,0,2,1
OL3931412W,0,0,0,2,1
OL5729825W,0,0,0,1,2
OL3775427W,1,0,4,2,4
OL4440539W,0,0,1,4,0
OL4278297W,0,0,1,0,2
OL3773917W,0,0,2,4,6
OL3771067W,2,1,0,0,2
OL4092521W,0,0,0,2,1
OL15450151W,2,1,5,9,2
OL6101936W,0,0,0,2,1
OL18160561W,0,0,4,3,2
OL4221187W,0,0,7,3,1
