work_key,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5
OL15334853W,2,0,2,4,2
OL8028189W,2,1,4,1,2
OL3467552W,0,0,3,1,4
OL29515951W,0,0,0,1,3
OL1822307W,0,1,0,3,5
OL3467581W,1,0,0,5,2
OL3981199W,0,1,3,2,1
OL3845038W,0,1,4,1,4
OL3759231W,0,2,1,2,2
OL1833989W,2,1,13,14,12
OL2705653W,1,1,2,1,2
OL17615537W,4,1,1,5,14
OL10530577W,0,0,0,1,8
OL4220892W,0,0,2,0,5
OL999519W,0,0,3,4,1
OL4580320W,0,0,2,2,3
OL111635W,1,1,0,2,3
OL3498587W,0,1,1,4,3
OL5686831W,0,0,1,3,2
OL5100310W,0,1,2,2,0
OL19699W,0,0,0,0,2
OL3775337W,0,1,2,3,2
OL8161699W,0,2,1,4,3
OL137394W,0,0,3,6,0
OL15859158W,0,0,5,1,2
OL3457707W,0,0,2,5,2
OL3261154W,0,1,3,5,7
OL3759419W,2,1,1,3,3
OL3771310W,2,1,0,4,0
OL3759097W,1,0,1,2,3
OL11327910W,1,0,2,3,3
OL3931459W,0,0,0,2,0
OL921867W,1,1,2,5,4
OL4092653W,1,1,0,2,4
OL5691864W,1,0,0,2,5
OL5810789W,3,3,4,4,2
OL14906558W,0,1,1,3,0
OL17791167W,0,0,2,5,15
OL21572618W,0,0,1,1,2
OL3457771W,0,1,2,2,4
OL4955615W,1,1,0,4,2
OL27244347W,0,0,0,0,2
OL921915W,1,1,3,2,2
OL17390191W,0,0,1,4,2
OL100239W,0,2,3,4,5
OL5236019W,0,1,2,0,1
OL17323489W,3,4,6,17,35
OL15715457W,0,0,0,0,5
OL16336633W,29,16,34,106,135
OL14920257W,0,1,1,1,3
OL15828294W,1,1,4,0,2
OL5809773W,1,0,2,4,4
OL20649786W,0,2,1,4,2
OL15565549W,1,1,0,2,2
OL5797931W,0,2,1,1,6
OL3775494W,2,1,5,3,4
OL16031718W,0,1,2,2,3
OL3754906W,1,1,3,1,2
OL3754941W,0,0,0,6,5
OL71042W,1,5,24,39,39
OL8032382W,0,3,7,3,1
OL3457760W,0,0,4,0,4
OL3931399W,0,0,3,2,1
OL10530592W,1,0,2,0,2
OL8315335W,2,0,1,5,1
OL3498682W,0,1,1,5,1
OL14726W,2,1,3,3,4
OL3498812W,0,0,0,2,2
OL3498593W,0,1,5,2,1
OL14862472W,0,0,2,4,3
OL65430W,4,1,9,19,6
OL4233123W,3,1,2,3,6
OL3457998W,0,0,1,7,4
OL455305W,10,18,35,41,25
OL17798319W,0,1,2,3,2
OL3759284W,1,2,2,3,4
OL2959205W,0,0,2,6,2
OL9209935W,0,0,3,5,2
OL111570W,0,1,1,3,3
OL34113490W,2,0,1,0,5
OL14851678W,0,0,0,0,1
OL26942W,0,1,0,2,4
OL11327156W,2,2,3,2,0
OL17500293W,1,1,2,3,4
OL18014467W,0,0,2,1,1
OL17293267W,0,0,2,3,3
OL3759492W,2,2,3,6,4
OL17104741W,0,0,1,7,8
OL5691879W,0,0,4,1,3
OL460999W,1,0,2,1,2
OL5695228W,1,1,2,2,1
OL3498657W,0,0,2,2,3
OL66544W,1,3,5,19,20
OL9224683W,1,0,2,2,3
OL3780290W,0,0,4,8,2
OL1230613W,3,7,21,39,53
OL17432870W,2,1,3,2,3
OL4182018W,0,0,1,5,3
OL36633W,3,1,6,14,25
OL36861W,1,0,5,12,11
OL111630W,0,0,1,4,5
OL1230631W,3,4,12,26,12
OL3519268W,0,1,2,3,5
OL17386471W,0,0,1,4,2
OL3754595W,0,1,3,1,1
OL15622W,0,1,1,1,5
OL3759384W,1,0,3,1,1
OL9482509W,0,1,3,1,6
OL3775490W,0,0,1,2,3
OL3775454W,0,2,4,0,1
OL17606111W,10,11,10,23,65
OL3519254W,0,0,2,1,3
OL34253W,0,0,2,1,1
OL4228716W,0,1,2,7,6
OL1902224W,0,1,3,3,2
OL3294360W,0,0,2,8,2
OL627084W,6,3,19,41,42
OL3845098W,0,0,0,1,5
OL3754528W,0,0,3,4,5
OL3457666W,1,0,1,2,4
OL20004819W,1,0,2,1,4
OL167291W,0,0,0,2,4
OL134601W,0,1,7,17,26
OL3771239W,0,0,1,1,4
OL34333W,1,1,2,1,1
OL25621436W,0,0,0,0,0
OL3759342W,1,0,2,3,3
OL16701775W,0,3,2,6,7
OL11762245W,0,1,2,5,5
OL3754890W,1,0,2,2,3
OL15145780W,2,3,2,1,0
OL3457977W,0,1,1,1,4
OL14683W,0,0,3,2,5
OL491799W,3,0,2,4,3
OL39349W,1,5,15,19,10
OL10530597W,0,1,0,2,2
OL3773886W,1,0,4,1,6
OL1003017W,2,3,1,2,8
OL22563730W,3,2,7,9,5
OL4084652W,2,1,3,2,0
OL5853878W,0,0,1,4,5
OL5366115W,0,0,2,4,5
OL3771214W,0,1,3,2,0
OL2959193W,0,1,1,8,5
OL20416941W,0,4,6,10,10
OL3457755W,0,2,3,3,1
OL4278176W,0,0,3,3,2
OL6803139W,1,1,3,2,1
OL2656058W,4,1,2,2,3
OL27850288W,0,0,1,1,3
OL3845598W,1,1,4,4,3
OL5837809W,3,1,2,4,2
OL15422772W,1,0,1,0,4
OL5821769W,0,0,0,2,2
OL24987665W,0,1,0,0,1
OL15134754W,1,0,3,2,5
OL4092668W,0,1,2,0,3
OL15171411W,0,0,1,1,2
OL112332W,0,1,0,2,2
OL4082444W,2,0,1,1,1
OL18173457W,0,2,1,4,1
OL8315353W,2,1,2,2,6
OL3476069W,1,0,2,3,6
OL17057W,0,0,0,0,3
OL3457894W,0,1,2,4,5
OL8318455W,0,1,1,0,2
OL5236110W,1,1,3,3,1
OL2959355W,0,0,4,4,14
OL3458047W,1,2,3,0,4
OL8315277W,1,0,2,4,7
OL4221246W,2,2,3,0,2
OL471603W,2,1,4,9,11
OL24753705W,0,0,0,0,0
OL3498569W,0,0,2,2,6
OL21584106W,0,0,0,0,3
OL3759145W,0,1,3,2,2
OL3771267W,1,3,0,2,2
OL17928103W,1,0,3,2,5
OL152321W,1,0,2,2,9
OL3260967W,1,1,1,2,3
OL4412095W,0,1,2,3,2
OL3467549W,0,0,0,5,1
OL3759334W,2,0,2,2,3
OL100050W,0,0,1,3,3
OL3294274W,0,0,0,3,1
OL3457800W,0,0,0,3,2
OL2252098W,0,0,4,9,13
OL2959198W,0,1,3,5,3
OL34342W,0,0,3,1,0
OL3770455W,1,3,2,2,2
OL15685W,1,0,0,3,3
OL3453399W,0,0,0,1,4
OL5808602W,0,0,1,2,0
OL20210369W,2,0,1,1,8
OL3457972W,0,0,1,4,0
OL3771283W,2,0,2,2,1
OL3759456W,0,2,0,1,1
OL11327949W,0,1,0,6,1
OL4084692W,2,0,4,2,2
OL25381140W,0,0,0,0,0
OL8559424W,0,0,2,2,6
OL4055722W,0,1,0,2,0
OL9367847W,0,0,3,4,0
OL3771299W,2,1,1,3,2
OL3754800W,2,0,2,6,5
OL3770769W,1,0,4,9,2
OL7133447W,0,0,0,1,2
OL1860315W,0,0,1,0,7
OL3773936W,0,1,4,3,5
OL16032364W,0,0,2,2,1
OL15842618W,0,0,2,4,3
OL16454963W,0,0,2,2,4
OL17541036W,0,0,1,4,6
OL25920096W,1,0,0,0,1
OL175368W,0,0,0,2,4
OL4233168W,1,0,3,3,6
OL3519308W,0,1,2,3,2
OL3476053W,1,0,3,1,3
OL54031W,0,1,3,10,1
OL3845574W,0,0,1,2,3
OL953162W,2,2,2,5,14
OL17478516W,1,0,1,3,0
OL15398007W,2,1,2,2,1
OL21498418W,0,1,1,3,0
