edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL9144029M,"April 30, 2003",2003,Debate Editorial,,,
OL17896403M,1994,1994,Arrow Books,London,enk,
OL6328818M,1930,1930,Grosset & Dunlap,,xx ,
OL13001992M,June 1989,1989,Planeta,,,
OL9801395M,June 1983,1983,Lectorum Pubns Inc (J),,,
OL18665966M,,,Musa sa,Warszawa,pl ,
OL9433645M,October 1999,1999,Tandem Library,,,
OL7953213M,"October 17, 2006",2006,Simon & Schuster Audio,,,
OL7320148M,"August 18, 1994",1994,Arrow Books Ltd,,,
OL9274797M,"August 18, 1994",1994,Arrow Books Ltd,,,Arrow Classic
OL34025414M,2006,2006,"Recorded Books, Inc.",,,
OL34039541M,2018,2018,CreateSpace Independent Publishing Platform,,,
OL34089747M,2018,2018,Independently Published,,,
OL34146363M,2020,2020,Independently Published,,,
OL34184182M,2022,2022,"Clydesdale Press, LLC",,,
OL32844238M,1972,1972,Pan Books Ltd,London,enk,
OL28192482M,"Jun 04, 1967",1967,Jonathan Cape,,,
OL28310932M,"Feb 27, 2015",2015,Rowohlt Taschenbuch,,,
OL26266226M,1996,1996,"""Livros de Brasil""",Lisboa,po ,Colecc ʹa o dois mundos -- 234
OL22909345M,1980,1980,Ri sheng chu ban she,Taibei,ch ,
OL19882241M,1970,1970,Bibliotheka gia 'olous,Athons,xxk,
OL7265159M,March 1982,1982,Macmillan Pub Co,,,
OL21614883M,1970,1970,Charles Scribner's sons,New York,xxu,Contemporary classics
OL6219712M,1956,1956,Scribner,New York,nyu,
OL24590396M,2004,2004,Arrow Books,"London, UK",,
OL10602075M,"September 19, 2000",2000,Books on Tape,,,
OL7719890M,March 1983,1983,Simon Schuster Trade,,,
OL9219873M,March 1982,1982,Macmillan Pub Co,,,
OL4443588M,1979,1979,Franklin Library,"Franklin Center, Pa",pau,The Greatest books of the twentieth century
OL13912043M,1926,1926,Charles Scribner's Sons,New York,xxu,
OL1855006M,1990,1990,Omnigraphics,Detroit,miu,Archive of literary documents ;
OL22598821M,2003,2003,Scribner,New York,nyu,
OL9112352M,June 1998,1998,"Editorial Planeta, S.A. (Barcelona)",,,
OL22144708M,1994,1994,Arrow Books,London,enk,
OL6712776M,1927,1927,C. Scribner's Sons,New York,nyu,
OL6140276M,1947,1947,Rowohlt,Stuttgart,gw ,
OL6694268M,1926,1926,Scribner,New York,nyu,
OL9048577M,"September 1, 2003",2003,Rowohlt Tb.,,,
OL8879212M,"August 1, 2006",2006,Hachette Audio,,,
OL12091271M,January 1990,1990,Omnigraphics,,,
OL12091271M,January 1990,1990,Omnigraphics Inc,,,
OL1106121M,1994,1994,G.K. Hall,"Thorndike, Me",meu,
OL11038810M,"October 1, 1972",1972,French & European Pubns,,,
OL1755469M,1993,1993,Avon,New York,nyu,A Malory Novel
OL34086701M,2018,2018,CreateSpace Independent Publishing Platform,,,
OL34102811M,2019,2019,Independently Published,,,
OL34106965M,2018,2018,CreateSpace Independent Publishing Platform,,,
OL34128317M,2020,2020,Independently Published,,,
OL34148144M,2020,2020,Independently Published,,,
OL34167621M,2020,2020,Independently Published,,,
OL34174219M,2022,2022,"Clydesdale Press, LLC",,,
OL34177960M,2020,2020,Independently Published,,,
OL34192993M,2022,2022,Penguin Publishing Group,,,
OL34192993M,2022,2022,Penguin Classics,,,
OL27575713M,"Jul 19, 2013",2013,Rowohlt Verlag GmbH,,,
OL22253693M,1954,1954,Cape,London,xxk,
OL7414827M,December 1927,1927,Jonathan Cape,,,
OL20871819M,,,Pan,London,,
OL13940775M,1990,1990,Arnaldo Mondadori Editore,Milano,it ,Oscar narrativa -- 354
OL13940775M,1990,1990,Arnaldo Mondadori Editore,Milano,it ,Narratori del novecento
OL7882833M,1976,1976,Grafton,,,
OL7316893M,"April 7, 2005",2005,Vintage,,,
OL9347442M,February 1983,1983,Ulverscroft Large Print Books Ltd,,,
OL20868604M,1941,1941,Guild Books,[London],enk,Guild books -- no. A5
OL9271549M,"April 7, 2005",2005,Vintage,,,
OL17885258M,1930,1930,Modern Library,New York,nyu,The Modern library of the world's best books
OL17885258M,1930,1930,Modern Library,New York,nyu,Modern library of the world's best books
OL1756884M,1990,1990,Easton Press,"Norwalk, Conn",ctu,
OL21615509M,1988,1988,Scribner/Macmillan,New York,xxu,
OL13748752M,1927,1927,Charles Scribner's Sons,New York,xxu,
OL7720205M,December 1984,1984,Scribner Book Company,,,
OL850328M,1995,1995,Scribner Paperback Fiction,New York,nyu,
OL21552453M,1953,1953,Scribner,New York,,
OL974460M,1996,1996,Scribner,New York,nyu,Scribner classics
OL7893285M,1999,1999,Books on Tape,,,
OL24337779M,1984,1984,Charles Scribner's Sons,,,
OL6726112M,1928,1928,Scribner,New York,nyu,
OL9200432M,December 2006,2006,Debolsillo,,,
OL32665336M,2005-11,2005,Rowohlt,,,rororo 22603
OL8597185M,"January 30, 2002",2002,Audio Book Contractors,,,
OL979819M,1997,1997,G.K. Hall & Co.,"Thorndike, Me",meu,G.K. Hall large print romance collection
OL29670386M,2013,2013,"Harlequin Enterprises, Limited",,,
OL40314718M,2022,2022,"Penguin Books, Limited",,,
OL23214808M,2008,2008,Harlequin,Toronto,onc,Harlequin presents -- 2769
OL23214808M,2008,2008,Harlequin,New York,onc,Harlequin presents -- 2769
OL23214808M,2008,2008,Harlequin Presents,Toronto,onc,Harlequin presents -- 2769
OL23214808M,2008,2008,Harlequin Presents,New York,onc,Harlequin presents -- 2769
OL24260781M,2008,2008,Harlequin,"Toronto, Ontario",nyu,
OL38269276M,2012,2012,Harlequin Enterprises ULC,,,
OL29127339M,2012,2012,"Harlequin Mills & Boon, Limited",,,
OL9477327M,"April 1, 1990",1990,Harlequin,,,Harlequin Romance #3053
OL9783882M,January 2007,2007,Ulverscroft Large Print,,,
OL17375341M,1990,1990,Mills & Boon,Richmond,xxk,
OL9486780M,"February 1, 2001",2001,Harlequin,,,
OL14977254M,1981,1981,Mills & Boon,London,xxk,
OL29151910M,2012,2012,"Harlequin Mills & Boon, Limited",,,
OL10739110M,"February 1, 1996",1996,Harlequin,,,Harlequin Presents No 1797
OL24224290M,1996,1996,Harlequin Books,Toronto,onc,Harlequin presents -- 1797
OL24224290M,1996,1996,Harlequin Books,New York,onc,Harlequin presents -- 1797
OL17443046M,1995,1995,Mills& Boon,Richmond,enk,Romance
OL15304120M,1986,1986,Harlequin Enterprises,Toyko,ja ,Harlequinpresents
OL9381276M,"May 1, 1983",1983,Worldwide Library,,,
OL48136747M,2010,2010,"Orion Publishing Group, Limited",,,
OL33356340M,2006,2006,"Little, Brown Book Group Limited",,,
OL33386875M,2008,2008,"Little, Brown Book Group Limited",,,
OL33426573M,2006,2006,"Little, Brown Book Group Limited",,,
OL26074917M,2003,2003,Turtleback Books,,,
OL24087486M,"March 2, 2010",2010,Ace Trade,,,
OL23731539M,2008,2008,Ace Books,New York,nyu,
OL24365062M,2004,2004,penguin publishing,,,
OL9309955M,"January 2, 2008",2008,Ace Hardcover,,,Southern Vampire (1)
