work_key,subject
OL20004814W,"Fiction, women"
OL20004814W,FICTION / Romance / Contemporary
OL20004814W,FICTION / Contemporary Women
OL16014245W,Love
OL16014245W,Ability
OL16014245W,Dictatorship
OL16014245W,Fiction
OL16014245W,Science fiction
OL16014245W,Soldiers
OL16014245W,Juvenile fiction
OL16014245W,Love stories
OL16014245W,Children's fiction
OL16014245W,"Love, fiction"
OL16014245W,"Soldiers, fiction"
OL16014245W,"Totalitarianism, fiction"
OL16014245W,Romance fiction
OL16014245W,Dictators
OL16014245W,Aptitude
OL16014245W,"Romans, nouvelles, etc. pour la jeunesse"
OL16014245W,Dictature
OL2959270W,"Fiction, Romance, Contemporary"
OL11277334W,"Fiction, Romance, Contemporary"
OL7990767W,"Fiction, Romance, Contemporary"
OL7990767W,"Intercountry marriage, fiction"
OL7990767W,"Husband and wife, fiction"
OL7990767W,"Pregnant women, fiction"
OL7990767W,"Fiction, romance, general"
OL11327897W,"Fiction, Romance,Contemporary"
OL8030401W,"Fiction, Romance, Contemporary"
OL8315310W,"Fiction, Romance, Contemporary"
OL3770492W,"Fiction, Romance, Contemporary"
OL17850410W,Fairies--Fiction.
OL17850410W,Sisters--Fiction.
OL17850410W,Orphans--Fiction.
OL17850410W,Princes--Fiction.
OL17850410W,Courts and courtiers--Fiction.
OL17850410W,Fantasy
OL17850410W,Princes
OL17850410W,Courts and courtiers
OL17850410W,Orphans
OL17850410W,Fairies
OL17850410W,Fiction
OL17850410W,Sisters
OL17850410W,Juvenile fiction
OL17850410W,"Sisters, fiction"
OL17850410W,"Fairies, fiction"
OL17850410W,"Orphans, fiction"
OL17850410W,"Princes, fiction"
OL17850410W,"Courts and courtiers, fiction"
OL17850410W,Fantasy fiction
OL17850410W,Children's fiction
OL17850410W,nyt:young-adult-hardcover=2018-01-21
OL17850410W,New York Times bestseller
OL17850410W,"Fiction, romance, paranormal, general"
OL17850410W,Young Adult Fiction
OL17850410W,Romance
OL17850410W,"Fiction, fantasy, general"
OL17850410W,"Fiction, general"
OL17850410W,"Young adult fiction, fantasy, dark fantasy"
OL17850410W,"Young adult fiction, royalty"
OL17850410W,"Young adult fiction, social themes, bullying"
OL17850410W,"Young adult fiction, fantasy, romance"
OL4233186W,"Fiction, Romance, Contemporary"
OL4233186W,"Affairs, fiction ""Mistresses"
OL4233186W,"fiction"""
OL3467489W,"Fiction, Romance, Contemporary"
OL3467489W,"Fiction, general"
OL4233175W,"Fiction, Romance, Contemporary"
OL20893778W,Dark Romance
OL20893778W,Dark
OL20893778W,Enemies To Lovers
OL20893778W,New Adult
OL20893778W,Contemporary
OL20893778W,Contemporary Romance
OL20893778W,Fiction
OL20893778W,Romance
OL3498612W,Romance
OL3498612W,Passion
OL3498612W,Fiction
OL3498612W,"Fiction, romance, general"
OL11327973W,"Fiction, Romance, Contemporary"
OL2959374W,"Fiction, Romance, Contemporary"
OL16481385W,Fiction
OL16481385W,romance
OL11327962W,"Fiction, Romance, Contemporary"
OL4342716W,"Fiction, Romance, Contemporary"
OL3845179W,"Fiction, Romance, Contemporary"
OL3845179W,"Secretaries, fiction"
OL3845179W,Secretaries
OL3845179W,Fiction
OL15411754W,"Fiction, Romance, Contemporary"
OL15411754W,"Revenge, fiction"
OL17719508W,Man-woman relationships
OL17719508W,Contemporary Women
OL17719508W,Contemporary
OL17719508W,FICTION
OL17719508W,Romance
OL17719508W,"Fiction, romance, contemporary"
OL17719508W,"Fiction, women"
OL17719508W,FICTION / Romance / Contemporary
OL17719508W,FICTION / Contemporary Women
OL17719508W,nyt:combined-print-and-e-book-fiction=2019-04-28
OL17719508W,New York Times bestseller
OL17719508W,College students
OL17719508W,Fiction
OL17719508W,nyt:trade-fiction-paperback=2019-04-21
OL3476075W,Fiction
OL3476075W,romance
OL3476079W,"Fiction, Romance, Contemporary"
OL3845101W,"Fiction, Romance, Contemporary"
OL3771180W,"Fiction, Romance, Contemporary"
OL8315355W,"Fiction, Romance, Contemporary"
OL8315355W,"Fiction, general"
OL3845173W,"Fiction, Romance, Contemporary"
OL3845173W,"Fiction, romance, general"
OL4233121W,"Fiction, Romance, Contemporary"
OL5236211W,"Fiction, Romance, Contemporary"
OL5236211W,Fiction in English
OL5236211W,"Ranchers, fiction"
OL5236211W,"Love stories, fiction"
OL5236211W,Ranchers
OL5236211W,Fiction
OL5236211W,Romance fiction
OL3845160W,"Fiction, Romance, Contemporary"
OL11327982W,"Fiction, Romance, Contemporary"
OL11327982W,"Love Stories, fiction"
OL2705619W,"Fiction, Romance, Contemporary"
OL2705619W,"Fiction, romance, general"
OL3770466W,"Fiction, Romance, Contemporary"
OL5236199W,"Fiction, Romance, Contemporary"
OL4225414W,"Fiction, Romance, Contemporary"
OL8315358W,"Fiction, general"
OL8315358W,"Fiction, romance, contemporary, general"
OL21435W,Frontier and pioneer life in fiction
OL21435W,Prostitutes in fiction
OL21435W,Frontier and pioneer life
