edition_key,work_key,title,subtitle,edition_name
OL26112576M,OL17519668W,The Sheikh's Prize,,
OL49357720M,OL20901884W,The Things We Leave Unfinished,,
OL28311531M,OL20901884W,The Things We Leave Unfinished,,
OL28950988M,OL3457673W,The Chain of Destiny,,
OL1976505M,OL3457673W,The chain of destiny,,
OL18287034M,OL3457673W,The chain of destiny.,,
OL10691399M,OL15859891W,Candleglow,,Harlequin Romance 1st ed.
OL38368100M,OL3771299W,A Woman of Passion,,
OL38351954M,OL3771299W,A Woman of Passion,,
OL16423069M,OL3771299W,A Woman of Passion,,
OL7564758M,OL4342724W,Love Match,,
OL48139405M,OL82374W,Dead until Dark,,
OL47226582M,OL82374W,Dead Until Dark,,
OL44232141M,OL82374W,Dead until Dark,,
OL40153255M,OL82374W,Muerto Hasta el Anochecer / Dead until Dark,,
OL38651991M,OL82374W,Dead until Dark,,
OL26016334M,OL82374W,"Dead Until Dark
            
                Sookie Stackhouse Novels Prebound",,
OL24608733M,OL82374W,Dead Until Dark (SOUTHERN VAMPIRE SERIES Book 1),,
OL24325642M,OL82374W,Dead until Dark,,
OL24325645M,OL82374W,Dead until Dark,,
OL24325643M,OL82374W,Dead until Dark,,
OL24235171M,OL82374W,Dead Until Dark,,
OL3664332M,OL82374W,"Dead Until Dark (Sookie Stackhouse, #1)",,Ace mass-market ed.
OL14978382M,OL6918872W,Winter heart,,
OL32141807M,OL15183864W,The Sicilian's Baby Bargain,,
OL32141808M,OL15183864W,The Sicilian's baby bargain,,
OL29020025M,OL15183864W,Sicilian's Baby Bargain,,
OL24411110M,OL15183864W,The Sicilian's baby bargain,,
OL29161825M,OL17519668W,Sheikh's Prize,,
OL26384399M,OL17519668W,The Sheikh's Prize,A Bride for a Billionaire #2,
OL26108521M,OL17519668W,The Sheikh's Prize,,
OL36345672M,OL20901884W,Things We Leave Unfinished,,
OL37392581M,OL3457673W,The Chain of Destiny,,
OL29568122M,OL3457673W,The Chain of Destiny,,
OL10738115M,OL4342701W,Confirmed Bachelor,,
OL14980278M,OL4342701W,Confirmed bachelor.,,
OL14981361M,OL4342701W,Confirmed Bachelor.,,
OL38371851M,OL3771299W,A Woman of Passion,,
OL38278013M,OL3771299W,A Woman of Passion,,
OL10240375M,OL3771299W,Woman of Passion,,Largeprint edition
OL10691308M,OL4220892W,Spring Fever,,
OL33275294M,OL4220892W,Met een hart vol vreugde,,
OL22291004M,OL4220892W,Spring fever,,
OL14977556M,OL4342724W,Love match.,,
OL14980494M,OL4342724W,Love match,,
OL44227980M,OL82374W,Dead until Dark,,
OL39220406M,OL82374W,Dead Until Dark,,
OL38655984M,OL82374W,Dead until Dark,,
OL38657785M,OL82374W,Dead until Dark,,
OL33387969M,OL82374W,Dead until Dark,,
OL32025996M,OL82374W,Dead Until Dark,,
